date,brent_usd,fx_eurusd,ipc_tot,ipc_h_tabac,ipc_h_tabA,ipc_inf_sj,conso_elek_bt,conso_elek_mt,ipc_alim_01,ipc_elekt_0451,ipc_nrj_045,ipc_loyers_0411,ind_IBTG_01.0,i_esm_Commerce,i_esm_Construction,i_esm_HôtellerieRestauration,i_esm_Industrie,i_esm_Secteurmarchand,i_esm_Services,NBR_SAL,EFF_SAL_ETP,HEURES,MSALB,CH_PAT,CH_SAL,CST,Défense,Civils,Total
2007-12-31,89.3666666666667,1.44936666666667,92,92.8,92.9,93.7,67346,58458,80.26235,90.47431,96.51958,104.12999,91.49022,123.3,145.26667,126.76667,111.7,130.8,141.76667,69029.092918279,60240.0569674733,30541708.8807072,48888346871.3211,11031297583.232,4336097240.67519,780556833.014882,2485,9503,11988
2008-03-31,97.7,1.49976666666667,92.4,92.9,92.9,94.3,68178,55873,81.5668,90.47431,96.51132,104.58153,93.04183,123.5,142.5,124.6,113.86667,130.93333,142.96667,68370.7804929095,60018.9258566755,30429595.4101118,51717415119.9565,11692275741.0765,4606051615.86891,918796807.65638,2217,8873,11090
2008-06-30,122.433333333333,1.56203333333333,93.4,94,94,94.6,68360,56944,83.00809,90.47431,96.50409,104.75914,93.3064,123.4,140.86667,126.7,114.96667,131.53333,144.03333,68721.4033314269,60113.8199951456,30477706.7351054,52266896997.0074,11886690458.1938,4695611579.19056,935588036.245458,2217,8873,11090
2008-09-30,116.466666666667,1.5038,95.6,96.2,96.3,95,64109,51973,84.28952,99.85216,109.98063,105.02866,94.43938,122.23333,138.26667,128.83333,113.73333,131.06667,144.26667,68111.0844777742,59595.1533025239,30214742.7239134,52566189732.6233,12040431762.0869,4770963376.89992,953754749.418844,2217,8873,11090
2008-12-31,55.7666666666667,1.31676666666667,95.5,96.1,96.1,95.4,66347,58316,83.99413,99.2259,107.14785,105.20521,95.76965,120.93333,132.56667,124.56667,111.6,128.8,144.1,67528.3285610684,59026.0494705901,29926207.0836027,52925208700.3336,12138591685.3549,4822117452.92396,970185763.587827,2217,8873,11090
2009-03-31,44.9,1.30246666666667,94.4,95,94.9,95.7,68849,57249,84.84311,95.4285,95.43996,105.52448,99.20125,119.26667,129.96667,120.63333,109.73333,126.6,142.26667,67621.2430933876,58362.1748055669,29589622.6262179,52403472273.9418,11844107827.5832,4694684233.62451,955975107.045706,2290,8995,11285
2009-06-30,58.8333333333333,1.36186666666667,94,94.6,94.5,95.3,69217,58521,84.6065,93.53723,92.54893,105.71336,100.71137,117.8,126.9,117.83333,108.4,124.8,140.76667,66657.3061775754,57363.8377318014,29083465.7301929,51784528913.2252,11805364014.6819,4691700485.10028,951083145.753708,2290,8995,11285
2009-09-30,68.4666666666667,1.4306,94.5,95.1,95.1,95.4,66021,57138,84.8233,95.70376,97.67484,105.64079,99.73197,118,122.43333,115.83333,106.9,123.36667,140.06667,66062.0938139251,56881.2603732233,28838799.0091817,51628214738.3284,11916911760.0482,4722210887.55039,959117267.735802,2290,8995,11285
2009-12-31,74.6666666666667,1.47813333333333,94.5,95.1,95,95.3,67858,64586,84.60281,96.78781,98.77369,105.53364,98.08533,117.3,123.46667,117.16667,106.6,123.43333,140.33333,66009.1661013181,56713.7553255537,28753873.9486102,52272074347.3128,12019528005.2579,4756079093.0909,968738725.376708,2290,8995,11285
2010-03-31,76.3333333333333,1.38423333333333,94.5,95.1,95.1,95.7,70574,62157,86.21955,96.78781,98.22627,105.96389,97.17362,117.33333,118.9,117.13333,105.93333,122.96667,140.56667,65143.0795162744,56570.7388006784,28681364.5714894,51729411482.5804,12082573939.9949,4750064094.45397,963520335.862944,2272,9248,11520
2010-06-30,78.8,1.27266666666667,94.9,95.5,95.5,95.9,71053,60581,86.35673,96.78781,98.56708,106.51421,97.13784,117.36667,116.36667,115.6,104.96667,122.43333,141.1,64851.0215503926,56340.9744484811,28564874.0448993,51507733221.8675,12057289384.0709,4745058645.87924,955044681.01202,2272,9248,11520
2010-09-30,77.3666666666667,1.29103333333333,96.7,97.3,97.3,97,65130,56191,88.39372,100.15069,102.80223,106.83344,98.91138,116.56667,115.03333,114.83333,104.36667,122.13333,142.4,64451.0588927456,55977.4305618015,28380557.2922141,51604715286.9047,12070751658.7322,4751929102.87256,967772653.251626,2272,9248,11520
2010-12-31,87.1333333333333,1.3593,96.2,96.8,96.8,96.8,66182,61345,87.08008,101.83213,104.76623,107.62856,100.00323,115.73333,113.66667,114.23333,105.33333,121.3,141.1,64365.0891471124,55847.393516462,28314628.5114196,52001787422.6696,12260140463.8455,4854018983.33508,1008375280.34488,2272,9248,11520
2011-03-31,104.866666666667,1.36693333333333,96.3,96.9,96.9,97.2,65195,58916,88.79402,102.22415,104.97817,107.59837,100.13358,114.76667,113.86667,113.76667,104.63333,120.33333,138.73333,64030.4603164519,55324.0539689226,28049295.3647967,51354943733.8705,12257682160.6514,4913064381.63448,995328216.796276,1963,8582,10545
2011-06-30,117.366666666667,1.4393,97.3,97.9,97.9,97.6,65089,57403,89.35577,106.42861,109.36111,107.52411,100.64343,113.4,113.23333,112.7,104.96667,119.36667,137.2,63542.4428127379,54765.0985256787,27765904.9536526,51051192527.6669,12282361465.4242,4940038107.18446,993851970.119406,1963,8582,10545
2011-09-30,112.466666666667,1.41256666666667,98.1,98.7,98.8,97.7,63066,54230,89.98523,108.13526,112.58321,107.54369,101.19193,112.73333,109.4,112.6,104,118.23333,136.36667,62868.1274947821,54249.0141309572,27504250.1649816,50684147154.2998,12325551130.9585,4967967070.91451,980989221.110825,1963,8582,10545
2011-12-31,109.133333333333,1.34803333333333,97.8,98.5,98.5,97.7,61461,59854,90.38868,108.13526,113.76766,107.23944,101.52877,112.33333,105.36667,112.26667,102.6,117,135.73333,62109.4333340103,53603.8568389663,27177155.4158459,50630001740.2246,12329180886.4462,4975625056.53362,978822805.980216,1963,8582,10545
2012-03-31,118.1,1.311,97.8,98.4,98.4,97.8,65907,59023,91.49518,109.46826,115.04835,106.88015,102.5598,112.06667,104.2,112.9,100.4,117.06667,137,61713.6480922611,53040.941654466,26891757.4199282,50422364219.9053,12073132478.9053,4771788520.53286,988265906.312047,1971,8289,10260
