DATE,ID_PROD,DATA_TYPE,DTI,DTE,M_B,X_B,M_S,X_S,TVA,RS_S11,RS_S13,CS_S11,CS_S13,CCF_S13,VA_NM,VA_M,P,ATSLP,SSLP,VA,CI,FBCF_S14,FBCF_S11,FBCF_S13,FBCF,VS,CF,CF_S13,CI_S13,CI_S11,P_S11,CF_S14,PIB_E,PIB_R
2007-09-30,000,N,7486.609373284,429.816301895951,40132.0980806135,5261.66990601787,13339.5594569519,24987.9875311211,10933.736296376,35314.7110794227,29232.561867505,7299.03966131156,4855.9370861761,8289.24611846941,42377.7450721505,82319.8125486578,232088.836796214,1289.75660889765,-866.439247268481,124697.557620808,107391.279175406,5160.81510046077,14067.2523321944,9399.04314892087,28627.110581576,413.263305220591,138152.663167623,46522.6364877756,4144.89141562513,103246.387759781,185566.200308438,91630.0266798474,143971.036953993,143971.036953993
2007-12-31,000,N,7441.57738566187,430.899818270458,42454.1874042227,3449.89343319904,12845.0684078745,24455.7407365636,10872.7857330114,35366.1489010294,29114.2789905157,7350.05858865148,4811.36010688886,8194.53998824843,42120.1790856529,78053.5883356758,229725.701532553,1258.23926130481,-1153.21812508647,120173.767421329,109551.934111224,5271.06998883265,16068.2659180575,8714.06903547514,30053.4049423653,540.513037228174,135823.755157232,46471.3013880319,4351.12230237902,105200.811808845,183254.400144521,89352.4537692001,139024.051494491,139024.051494491
2008-03-31,000,N,7583.84779169864,276.25891320146,42704.7882238005,4078.19208208693,12480.1452973746,22612.9894610627,11236.0335601362,37715.6403151193,29530.0724559292,7815.53155229878,4938.80320706485,8062.02717444754,42530.9028374416,84435.7617508162,230798.755216227,1239.94890108705,-1441.54989201158,126966.664588258,103832.090627969,5345.9694938335,16351.6004088511,7609.06471638567,29306.6346190703,665.124330018957,144383.196891306,47048.1293786167,4517.22654117506,99314.8640867939,183750.62583761,97335.0675126893,145861.20386237,145861.20386237
2008-06-30,000,N,7959.888826444,182.973013401456,44491.4490030182,3599.05599938349,13628.2724098578,27722.5498379437,11288.242606412,38420.7948540121,29435.7535121209,7992.4341002141,4980.61507099527,7952.67817914816,42369.0467622644,84044.2066672992,241400.295549351,1277.44102757913,-1646.37961230703,126413.253429564,114987.042119787,5530.49678118375,16609.511614141,6956.63710219561,29096.6454975204,650.419115127687,142526.470253994,46859.6524058404,4490.60564357601,110496.436476211,194540.643143511,95666.8178481536,145475.419291093,145475.419291094
2008-09-30,000,N,7380.92419388381,161.860475772693,44527.0813432338,3263.67999706325,12282.1550490145,21471.8374996277,10824.2869193972,37967.1893776117,29435.7317359446,8035.36281991456,5118.23727232419,7866.49300235032,42420.4620106191,81267.1453736017,228608.073767211,1204.64819400778,-1462.41711770538,123687.607384221,104920.46638299,5710.74696885529,16401.5264358147,6756.78619290497,28869.059597575,496.397392554365,144505.171955005,46776.9922689834,4356.53025836431,100563.936124626,181831.081498228,97728.1796860216,141796.910049577,141796.910049577
2008-12-31,000,N,7227.33918797351,23.9075976243903,44137.6814299474,5250.07192146633,12197.4272437527,21630.623201366,10748.4369140546,37072.3754532569,30714.4422960053,8017.67152757258,5455.34444961566,7803.47164405398,43973.2583896749,83876.216208283,233042.875467212,1237.96187732594,-1171.65337797611,127849.474597958,105193.400869254,5844.78675612743,15669.3615411927,7009.51198851376,28523.6602858339,203.05916229899,146643.160899695,48239.2259465596,4265.96755688467,100927.433312369,184803.649520652,98403.9349531354,145915.46679696,145915.46679696
2009-03-31,000,N,6993.78080081661,8.26905735386332,38216.0374659809,3195.39550801095,11984.5890797138,21020.0906894866,10163.9263224279,35254.4051059098,29815.6616887098,7718.6329861326,5454.40168451853,7763.61410425917,43033.6774774875,76265.9667551041,230466.966803117,1244.0809375502,-724.576646577833,119299.644232592,111167.322570525,5857.45948210072,13492.1593555663,7714.81448902197,27064.433326689,-229.595575638437,136135.427301309,46915.5638656544,3881.8863881669,107285.436182358,183551.402937463,89219.8634356546,136985.124704162,136985.124704163
2009-06-30,000,N,6818.8068494977,6.41748255974719,36897.222088538,2430.12756451178,12415.5598831464,20904.1508830048,10062.3228258571,33970.5893464206,29882.3408938233,7625.45807994497,5495.74093712988,7716.98744663758,43095.0692775908,83113.4056680195,219402.17957603,1204.07687578596,-304.157946182933,126208.47494561,93193.7046304198,5894.66955565011,13631.0456470853,8215.50969361647,27741.2248963519,-517.519240558034,142750.738901502,46722.9141064665,3627.84482887571,89565.8598015441,172679.265469564,96027.8247950355,143995.941033128,143995.941033128
2009-09-30,000,N,6650.97823877299,69.251512435678,36036.3166355013,2651.90647388617,12652.5231951945,20345.6781017139,9894.81120017312,33602.0235352621,29761.2846525499,7762.0013402573,5446.31118019179,7663.5916711892,42871.1875039309,83482.463979838,222932.114613096,1236.76505858315,-60.0968385055957,126353.651483769,96578.463129327,5878.49602604187,12589.5864457072,8511.59760229725,26979.6800740463,-660.711832459798,143517.647668737,46302.7355620233,3431.54805809237,93146.9150712346,176629.379051073,97214.9121067137,144145.360655228,144145.360655228
2009-12-31,000,N,6835.43411091273,61.0619476507116,35976.4238099796,4233.57045359109,12782.3278419451,19368.0803257947,9851.93965154179,34132.9820124076,30485.7127649171,7975.90759366513,5416.54619815979,7603.42677791405,43505.6857409909,76753.5435970384,218133.739007759,1213.07712808,-0.168568734436903,120259.229338029,97874.5096697293,5900.37493620619,12288.2085516409,8603.07821506432,26791.6617029114,-659.173351343731,137245.186128451,46902.7864658559,3397.10072486498,94477.4089448643,171230.952541903,90342.3996625951,138220.57360748,138220.573607481
